Designator, MidX, MidY, Layer, Rotation
C1, 4.95, 14.61, Top, 0.0
C2, 4.95, 16.20, Top, 180.0
C3, 1.59, 18.55, Top, 180.0
C4, -6.17, 4.77, Top, 0.0
LED1, -12.77, 11.12, Top, 325.0
LED2, -6.80, 19.38, Top, 325.0
LED3, 6.90, 19.38, Top, 35.0
LED4, 12.87, 11.03, Top, 35.0
LED5, 8.44, 2.87, Top, 90.0
LED6, -8.07, 2.87, Top, 90.0
LED7, 1.46, 2.87, Top, 90.0
LED8, -1.40, 2.87, Top, 270.0
R1, -7.12, 13.03, Top, 90.0
R2, -9.34, 6.99, Top, 180.0
R3, 8.44, 11.76, Top, 180.0
R4, 7.81, 14.29, Top, 90.0
R5, 0.82, 6.68, Top, 90.0
R6, -0.77, 6.68, Top, 90.0
R7, 4.00, 24.77, Top, 270.0
R8, -1.08, 9.85, Top, 0.0
R9, 2.09, 9.85, Top, 0.0
R10, -0.45, 11.76, Top, 0.0
R11, -2.67, 4.77, Top, 90.0
S1, 0.00, 14.50, Top, 0.0
T1, 7.17, 7.31, Top, 270.0
T2, -9.34, 9.85, Top, 180.0
U$1, 0.00, 24.95, Top, 90.0
U$2, 5.27, 12.39, Top, 0.0
U1, -5.53, 7.31, Top, 180.0
